  x             y         z
  -3.350  0.1005E+03  0.2637E+03
  -3.320  0.1491E+03  0.2681E+03
  -3.290  0.5754E+02  0.2699E+03
  -3.260  0.1041E+02  0.2702E+03
  -3.230  0.4541E+02  0.2715E+03
  -3.200  0.7584E+02  0.2738E+03
  -3.170  0.8089E+02  0.2762E+03
  -3.140  0.5133E+02  0.2778E+03
  -3.110  0.1077E+03  0.2810E+03
  -3.080  0.1774E+03  0.2863E+03
  -3.050  0.1385E+03  0.2905E+03
  -3.020  0.6132E+02  0.2923E+03
  -2.990  0.1347E+02  0.2927E+03
  -2.960  0.4734E+02  0.2942E+03
  -2.930  0.4030E+02  0.2954E+03
  -2.900  0.4671E+01  0.2955E+03
  -2.870  0.7520E-01  0.2955E+03
  -2.840  0.4539E+00  0.2955E+03
  -2.810  0.1765E+02  0.2960E+03
  -2.780  0.9701E+02  0.2990E+03
  -2.750  0.7612E+02  0.3012E+03
  -2.720  0.8615E+01  0.3015E+03
  -2.690  0.3370E+00  0.3015E+03
  -2.660  0.5397E+01  0.3017E+03
  -2.630  0.2911E+02  0.3025E+03
  -2.600  0.4721E+02  0.3040E+03
  -2.570  0.7074E+02  0.3061E+03
  -2.540  0.4680E+02  0.3075E+03
  -2.510  0.4489E+02  0.3088E+03
  -2.480  0.7395E+02  0.3111E+03
  -2.450  0.1072E+03  0.3143E+03
  -2.420  0.1607E+03  0.3191E+03
  -2.390  0.1563E+03  0.3238E+03
  -2.360  0.9732E+02  0.3267E+03
  -2.330  0.4033E+02  0.3279E+03
  -2.300  0.6554E+02  0.3299E+03
  -2.270  0.6523E+02  0.3318E+03
  -2.240  0.8098E+02  0.3343E+03
  -2.210  0.8113E+02  0.3367E+03
  -2.180  0.1395E+03  0.3409E+03
  -2.150  0.1178E+03  0.3444E+03
  -2.120  0.1171E+03  0.3479E+03
  -2.090  0.9680E+02  0.3508E+03
  -2.060  0.1273E+03  0.3547E+03
  -2.030  0.1064E+03  0.3578E+03
  -2.000  0.1081E+03  0.3611E+03
  -1.970  0.1543E+03  0.3657E+03
  -1.940  0.1374E+03  0.3698E+03
  -1.910  0.2166E+02  0.3705E+03
  -1.880  0.8503E+00  0.3705E+03
  -1.850  0.1363E+02  0.3709E+03
  -1.820  0.7424E+02  0.3731E+03
  -1.790  0.5588E+02  0.3748E+03
  -1.760  0.5835E+01  0.3750E+03
  -1.730  0.1899E+01  0.3751E+03
  -1.700  0.2243E+02  0.3757E+03
  -1.670  0.6192E+02  0.3776E+03
  -1.640  0.1122E+03  0.3810E+03
  -1.610  0.7982E+02  0.3833E+03
  -1.580  0.6170E+02  0.3852E+03
  -1.550  0.2542E+02  0.3860E+03
  -1.520  0.1095E+02  0.3863E+03
  -1.490  0.5883E+02  0.3881E+03
  -1.460  0.1021E+03  0.3911E+03
