#  aims_uuid : 282258B3-0A00-4C8B-ABE0-40F779DADCD2                                
#  angular momentum projected density of states for species add_Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.703064 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
       -1.86350268        0.25023703        0.00227710        0.24794620        0.00001374
       -1.85349267        0.11469888        0.00116269        0.11353273        0.00000345
       -1.84348266        0.13161629        0.00170248        0.12991038        0.00000343
       -1.83347265        0.13031370        0.00222863        0.12808199        0.00000307
       -1.82346264        0.12733778        0.00272378        0.12461124        0.00000275
       -1.81345263        0.12268853        0.00318793        0.11949815        0.00000246
       -1.80344262        0.11636596        0.00362106        0.11274270        0.00000219
       -1.79343261        0.32941615        0.00245169        0.32694576        0.00001869
       -1.78342260        0.37158473        0.00538639        0.36617886        0.00001948
       -1.77341259        0.36153026        0.00551781        0.35599154        0.00002091
       -1.76340258        0.20840416        0.00143533        0.20695951        0.00000932
       -1.75339257        0.41280205        0.00220221        0.41058166        0.00001818
       -1.74338256        0.54526547        0.00193665        0.54330708        0.00002174
       -1.73337255        0.53031172        0.00148035        0.52880994        0.00002143
       -1.72336254        0.44692979        0.00065219        0.44626117        0.00001644
       -1.71335253        0.37803922        0.00047862        0.37754664        0.00001395
       -1.70334252        0.22600333        0.00031815        0.22567574        0.00000944
       -1.69333251        0.13681691        0.00044422        0.13636832        0.00000437
       -1.68332250        0.29422050        0.00102504        0.29318594        0.00000952
       -1.67331249        0.15275523        0.00098202        0.15176736        0.00000585
       -1.66330248        0.00709729        0.00000048        0.00709665        0.00000016
       -1.65329247        0.24208794        0.00000608        0.24207497        0.00000689
       -1.64328246        0.13847210        0.00000001        0.13846712        0.00000497
       -1.63327245        0.14740479        0.00000163        0.14739743        0.00000573
       -1.62326244        0.27287251        0.00000197        0.27286007        0.00001047
       -1.61325243        0.35646907        0.00000322        0.35645148        0.00001438
       -1.60324242        0.48226366        0.00000243        0.48224115        0.00002008
       -1.59323241        0.64201853       -0.00001261        0.64200392        0.00002723
       -1.58322240        0.87391584       -0.00002239        0.87390096        0.00003727
       -1.57321239        1.15388868       -0.00003690        1.15387620        0.00004938
       -1.56320238        0.67615727       -0.00007782        0.67620879        0.00002630
       -1.55319237        0.40146560       -0.00005902        0.40150872        0.00001590
       -1.54318236        0.50995781       -0.00009727        0.51003467        0.00002041
       -1.53317235        0.66765522       -0.00017694        0.66780533        0.00002684
       -1.52316234        0.61746870       -0.00025249        0.61769411        0.00002709
       -1.51315233        1.20796779       -0.00012604        1.20805353        0.00004030
       -1.50314232        0.07453803       -0.00000000        0.07453605        0.00000198
       -1.49313231        0.10887606       -0.00002835        0.10890093        0.00000347
       -1.48312230        0.13657490       -0.00002142        0.13659171        0.00000460
       -1.47311229        0.23582259        0.00038575        0.23542510        0.00001174
       -1.46310228        0.64515960        0.00024324        0.64489432        0.00002203
       -1.45309227        0.75779529        0.00025869        0.75751295        0.00002365
       -1.44308226        0.91843787        0.00025639        0.91815339        0.00002809
       -1.43307225        1.14772511        0.00022000        1.14747010        0.00003501
       -1.42306224        1.24323391        0.00006132        1.24313492        0.00003767
       -1.41305223        1.42909060        0.00003355        1.42901377        0.00004328
       -1.40304222        1.60244372       -0.00004367        1.60243951        0.00004788
       -1.39303221        1.01556272        0.00139434        1.01413905        0.00002934
       -1.38302220        0.77341595       -0.00002673        0.77342022        0.00002246
       -1.37301219        0.80402692       -0.00002268        0.80402659        0.00002302
       -1.36300218        0.73750853       -0.00002837        0.73751719        0.00001971
       -1.35299217        1.01833068       -0.00006128        1.01836678        0.00002517
       -1.34298216        1.20995113        0.00000492        1.20991756        0.00002865
       -1.33297215        1.80036564        0.00013292        1.80019126        0.00004147
       -1.32296214        2.07361978        0.00025776        2.07331474        0.00004728
       -1.31295213        2.26840399        0.00051389        2.26783777        0.00005233
